site	year	rep	specie	Date
7	6	1	2	31
8	6	1	2	31
9	6	1	2	31
10	6	1	2	31
11	6	1	2	31
12	6	1	2	31
13	6	1	2	31
14	6	1	2	31
15	6	1	2	31
16	6	1	2	31
17	6	1	2	31
18	6	1	2	31
19	6	1	2	31
1	7	1	2	29
2	7	1	2	29
3	7	1	2	29
4	7	1	2	29
5	7	1	2	29
6	7	1	2	29
7	7	1	2	29
8	7	1	2	29
9	7	1	2	29
10	7	1	2	29
11	7	1	2	29
12	7	1	2	29
13	7	1	2	29
14	7	1	2	29
15	7	1	2	29
16	7	1	2	29
17	7	1	2	29
18	7	1	2	29
19	7	1	2	29
1	8	1	2	25
2	8	1	2	25
3	8	1	2	25
4	8	1	2	25
5	8	1	2	25
6	8	1	2	25
7	8	1	2	25
8	8	1	2	25
9	8	1	2	25
10	8	1	2	25
11	8	1	2	25
12	8	1	2	25
13	8	1	2	25
14	8	1	2	25
15	8	1	2	25
16	8	1	2	25
17	8	1	2	25
18	8	1	2	25
19	8	1	2	25
1	9	1	2	17
2	9	1	2	17
3	9	1	2	17
4	9	1	2	17
5	9	1	2	17
6	9	1	2	17
7	9	1	2	17
8	9	1	2	17
9	9	1	2	17
10	9	1	2	17
11	9	1	2	17
12	9	1	2	17
13	9	1	2	17
14	9	1	2	17
15	9	1	2	17
16	9	1	2	17
17	9	1	2	17
18	9	1	2	17
19	9	1	2	17
1	10	1	2	23
2	10	1	2	23
3	10	1	2	23
4	10	1	2	23
5	10	1	2	23
6	10	1	2	23
7	10	1	2	23
8	10	1	2	23
9	10	1	2	23
10	10	1	2	23
11	10	1	2	23
12	10	1	2	23
13	10	1	2	23
14	10	1	2	23
15	10	1	2	23
16	10	1	2	23
17	10	1	2	23
18	10	1	2	23
19	10	1	2	23
1	11	1	2	28
2	11	1	2	28
3	11	1	2	28
4	11	1	2	28
5	11	1	2	28
6	11	1	2	28
7	11	1	2	28
8	11	1	2	28
9	11	1	2	28
10	11	1	2	28
11	11	1	2	28
12	11	1	2	28
13	11	1	2	28
14	11	1	2	28
15	11	1	2	28
16	11	1	2	28
17	11	1	2	28
18	11	1	2	28
19	11	1	2	28
1	12	1	2	27
2	12	1	2	27
3	12	1	2	27
4	12	1	2	27
5	12	1	2	27
6	12	1	2	27
7	12	1	2	27
8	12	1	2	27
9	12	1	2	27
10	12	1	2	27
11	12	1	2	27
12	12	1	2	27
13	12	1	2	27
14	12	1	2	27
15	12	1	2	27
16	12	1	2	27
17	12	1	2	27
18	12	1	2	27
19	12	1	2	27
1	1	2	2	42
2	1	2	2	42
3	1	2	2	42
4	1	2	2	42
5	1	2	2	42
6	1	2	2	42
7	1	2	2	42
8	1	2	2	42
9	1	2	2	42
10	1	2	2	42
11	1	2	2	42
12	1	2	2	42
13	1	2	2	42
14	1	2	2	42
15	1	2	2	42
16	1	2	2	42
17	1	2	2	42
18	1	2	2	42
19	1	2	2	42
1	2	2	2	41
2	2	2	2	41
3	2	2	2	41
4	2	2	2	41
5	2	2	2	41
6	2	2	2	41
7	2	2	2	41
8	2	2	2	41
9	2	2	2	41
10	2	2	2	41
11	2	2	2	41
12	2	2	2	41
13	2	2	2	41
14	2	2	2	41
15	2	2	2	41
16	2	2	2	41
17	2	2	2	41
18	2	2	2	41
19	2	2	2	41
1	3	2	2	18
2	3	2	2	18
3	3	2	2	18
4	3	2	2	18
5	3	2	2	18
6	3	2	2	18
7	3	2	2	18
8	3	2	2	18
9	3	2	2	18
10	3	2	2	18
11	3	2	2	18
12	3	2	2	18
13	3	2	2	18
14	3	2	2	18
15	3	2	2	18
16	3	2	2	18
17	3	2	2	18
18	3	2	2	18
19	3	2	2	18
1	4	2	2	39
2	4	2	2	39
3	4	2	2	39
4	4	2	2	39
5	4	2	2	39
6	4	2	2	39
7	4	2	2	39
8	4	2	2	39
9	4	2	2	39
10	4	2	2	39
11	4	2	2	39
12	4	2	2	39
13	4	2	2	39
14	4	2	2	39
15	4	2	2	39
16	4	2	2	39
17	4	2	2	39
18	4	2	2	39
19	4	2	2	39
1	5	2	2	25
2	5	2	2	25
3	5	2	2	25
4	5	2	2	25
5	5	2	2	25
6	5	2	2	25
7	5	2	2	25
8	5	2	2	25
9	5	2	2	25
10	5	2	2	25
11	5	2	2	25
12	5	2	2	25
13	5	2	2	25
14	5	2	2	25
15	5	2	2	25
16	5	2	2	25
17	5	2	2	25
18	5	2	2	25
19	5	2	2	25
1	6	2	2	31
2	6	2	2	31
3	6	2	2	31
4	6	2	2	31
5	6	2	2	31
6	6	2	2	31
7	6	2	2	31
8	6	2	2	31
9	6	2	2	31
10	6	2	2	31
11	6	2	2	31
12	6	2	2	31
13	6	2	2	31
14	6	2	2	31
